Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,Total,Crimes contra as pessoas,Crimes de homicídio voluntário consumado,Crimes contra o património,Crimes contra a identidade cultural e integridade pessoal,Crimes contra a vida em sociedade,Crimes contra o Estado,Crimes contra animais de companhia,Crimes previstos em legislação avulsa
PT: Portugal,415325.00,91381.00,117.00,229078.00,4.00,46909.00,6383.00,- -,41570.00
1: Continente,394952.00,84783.00,106.00,220379.00,x x,44150.00,5992.00,- -,39644.00
11: Norte,122311.00,31205.00,23.00,65220.00,x x,15742.00,1509.00,- -,8635.00
111: Alto Minho,8655.00,2254.00,x x,3980.00,x x,1763.00,112.00,- -,546.00
1111601: Arcos de Valdevez,786.00,254.00,x x,243.00,x x,215.00,21.00,- -,53.00
1111602: Caminha,790.00,184.00,x x,400.00,x x,144.00,10.00,- -,52.00
1111603: Melgaço,227.00,58.00,x x,111.00,x x,45.00,? ?,- -,? ?
1111604: Monção,561.00,149.00,x x,275.00,x x,121.00,? ?,- -,? ?
1111605: Paredes de Coura,337.00,74.00,x x,129.00,x x,110.00,3.00,- -,21.00
1111606: Ponte da Barca,545.00,137.00,x x,213.00,x x,171.00,4.00,- -,20.00
1111607: Ponte de Lima,1449.00,355.00,x x,599.00,x x,348.00,21.00,- -,126.00
1111608: Valença,828.00,182.00,x x,515.00,x x,88.00,? ?,- -,? ?
1111609: Viana do Castelo,2822.00,794.00,x x,1296.00,x x,491.00,44.00,- -,197.00
1111610: Vila Nova de Cerveira,310.00,67.00,x x,199.00,x x,30.00,3.00,- -,11.00
112: Cávado,13516.00,3056.00,x x,7762.00,x x,1639.00,165.00,- -,894.00
1120301: Amares,868.00,232.00,x x,394.00,x x,146.00,16.00,- -,80.00
1120302: Barcelos,2762.00,754.00,x x,1215.00,x x,386.00,40.00,- -,367.00
1120303: Braga,6748.00,1313.00,x x,4467.00,x x,624.00,56.00,- -,288.00
1120306: Esposende,1166.00,267.00,x x,730.00,x x,122.00,15.00,- -,32.00
1120310: Terras de Bouro,340.00,90.00,x x,156.00,x x,71.00,9.00,- -,14.00
1120313: Vila Verde,1632.00,400.00,x x,800.00,x x,290.00,29.00,- -,113.00
119: Ave,11604.00,2865.00,x x,6071.00,x x,1570.00,166.00,- -,932.00
1190304: Cabeceiras de Basto,348.00,120.00,x x,130.00,x x,62.00,? ?,- -,? ?
1190307: Fafe,1370.00,364.00,x x,626.00,x x,246.00,23.00,- -,111.00
1190308: Guimarães,4475.00,1022.00,x x,2574.00,x x,493.00,64.00,- -,322.00
1191705: Mondim de Basto,182.00,59.00,x x,97.00,x x,17.00,? ?,- -,? ?
1190309: Póvoa de Lanhoso,652.00,130.00,x x,302.00,x x,129.00,13.00,- -,78.00
1190311: Vieira do Minho,577.00,143.00,x x,280.00,x x,112.00,6.00,- -,36.00
1190312: Vila Nova de Famalicão,3176.00,845.00,x x,1679.00,x x,369.00,34.00,- -,249.00
1190314: Vizela,824.00,182.00,x x,383.00,x x,142.00,16.00,- -,101.00
11A: Área Metropolitana do Porto,63152.00,15831.00,x x,35530.00,x x,6425.00,711.00,- -,4655.00
11A0104: Arouca,376.00,100.00,x x,158.00,x x,81.00,8.00,- -,29.00
11A0107: Espinho,1114.00,389.00,x x,533.00,x x,94.00,21.00,- -,77.00
11A1304: Gondomar,4619.00,1394.00,x x,2680.00,x x,315.00,28.00,- -,202.00
11A1306: Maia,4508.00,1055.00,x x,2876.00,x x,291.00,27.00,- -,259.00
11A1308: Matosinhos,6705.00,1548.00,x x,4218.00,x x,447.00,59.00,- -,433.00
