
Quadro extraído em 21 de Julho de 2019 (13:29:18)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Crimes registados (N.º) pelas autoridades policiais por Localização geográfica (NUTS - 2013) e Categoria de crime -  Anual (3) ;;;;;;;;;
;Período de referência dos dados (2) ;;;;;;;;;
;2014;;;;;;;;;
;Categoria de crime;;;;;;;;;
;Total;Crimes contra as pessoas;Crimes de homicídio voluntário consumado;Crimes contra o património;Crimes contra a identidade cultural e integridade pessoal;Crimes contra a vida em sociedade;Crimes contra o Estado;Crimes contra animais de companhia;Crimes previstos em legislação avulsa;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
PT: Portugal;351311;83207;103;192135;21;40234;6098;- -;29616;
1: Continente;333372;76874;95;185179;x x;37715;5657;- -;27927;
11: Norte;105186;28111;28;56784;x x;11611;1451;- -;7227;
111: Alto Minho;7129;2065;x x;3587;x x;931;97;- -;449;
1111601: Arcos de Valdevez;604;171;x x;266;x x;112;16;- -;39;
1111602: Caminha;590;189;x x;322;x x;47;9;- -;23;
1111603: Melgaço;229;65;x x;107;x x;35;? ?;- -;? ?;
1111604: Monção;534;130;x x;302;x x;69;? ?;- -;? ?;
1111605: Paredes de Coura;246;53;x x;128;x x;39;4;- -;22;
1111606: Ponte da Barca;355;107;x x;159;x x;70;7;- -;12;
1111607: Ponte de Lima;1121;322;x x;543;x x;160;20;- -;76;
1111608: Valença;690;174;x x;358;x x;85;6;- -;67;
1111609: Viana do Castelo;2382;755;x x;1183;x x;285;26;- -;133;
1111610: Vila Nova de Cerveira;378;99;x x;219;x x;29;4;- -;27;
112: Cávado;10661;2619;x x;6311;x x;1033;148;- -;548;
1120301: Amares;448;119;x x;204;x x;77;9;- -;39;
1120302: Barcelos;2007;663;x x;932;x x;234;25;- -;153;
1120303: Braga;5550;1173;x x;3784;x x;367;65;- -;159;
1120306: Esposende;1021;243;x x;544;x x;131;25;- -;78;
1120310: Terras de Bouro;187;46;x x;81;x x;38;9;- -;13;
1120313: Vila Verde;1448;375;x x;766;x x;186;15;- -;106;
119: Ave;8969;2496;x x;4311;x x;1267;155;- -;740;
1190304: Cabeceiras de Basto;363;122;x x;129;x x;82;5;- -;25;
1190307: Fafe;1013;305;x x;445;x x;139;19;- -;105;
1190308: Guimarães;3168;841;x x;1688;x x;424;32;- -;183;
1191705: Mondim de Basto;173;38;x x;98;x x;22;5;- -;10;
1190309: Póvoa de Lanhoso;494;125;x x;223;x x;110;6;- -;30;
1190311: Vieira do Minho;347;92;x x;191;x x;39;10;- -;15;
1190312: Vila Nova de Famalicão;2763;845;x x;1321;x x;278;48;- -;271;
1190314: Vizela;648;128;x x;216;x x;173;30;- -;101;
11A: Área Metropolitana do Porto;56994;14331;x x;32685;x x;5382;697;- -;3899;
11A0104: Arouca;374;139;x x;158;x x;57;8;- -;12;
11A0107: Espinho;871;318;x x;415;x x;64;22;- -;52;
11A1304: Gondomar;4242;1221;x x;2388;x x;273;42;- -;318;
11A1306: Maia;4322;906;x x;2657;x x;404;41;- -;314;
11A1308: Matosinhos;6077;1517;x x;3511;x x;590;58;- -;401;
11A0113: Oliveira de Azeméis;1366;462;x x;579;x x;188;28;- -;109;
11A1310: Paredes;2147;589;x x;1147;x x;193;22;- -;196;
11A1312: Porto;15212;2912;x x;9114;x x;1758;253;- -;1175;
11A1313: Póvoa de Varzim;1423;459;x x;814;x x;103;11;- -;36;
11A0109: Santa Maria da Feira;3718;1032;x x;2130;x x;359;30;- -;167;
11A1314: Santo Tirso;1341;466;x x;621;x x;144;15;- -;95;
11A0116: São João da Madeira;726;217;x x;324;x x;129;11;- -;45;
11A1318: Trofa;994;229;x x;526;x x;107;15;- -;117;
11A0119: Vale de Cambra;445;108;x x;215;x x;83;14;- -;25;
11A1315: Valongo;2486;793;x x;1385;x x;164;21;- -;123;
11A1316: Vila do Conde;2105;530;x x;1161;x x;188;30;- -;196;
11A1317: Vila Nova de Gaia;9145;2433;x x;5540;x x;578;76;- -;518;
11B: Alto Tâmega;2812;738;x x;1162;x x;616;45;- -;251;
11B1702: Boticas;129;25;x x;49;x x;37;- -;- -;18;
11B1703: Chaves;1126;310;x x;523;x x;185;18;- -;90;
11B1706: Montalegre;373;90;x x;134;x x;118;? ?;- -;? ?;
11B1709: Ribeira de Pena;172;39;x x;67;x x;46;? ?;- -;? ?;
11B1712: Valpaços;579;168;x x;226;x x;112;18;- -;55;
11B1713: Vila Pouca de Aguiar;433;106;x x;163;x x;118;6;- -;40;
11C: Tâmega e Sousa;10046;3062;x x;4892;x x;1160;149;- -;783;
11C1301: Amarante;1382;414;x x;689;x x;168;16;- -;95;
11C1302: Baião;418;173;x x;174;x x;54;6;- -;11;
11C0106: Castelo de Paiva;369;113;x x;166;x x;64;7;- -;19;
11C0305: Celorico de Basto;256;67;x x;125;x x;45;7;- -;12;
11C1804: Cinfães;421;154;x x;201;x x;38;4;- -;24;
11C1303: Felgueiras;1753;473;x x;939;x x;176;25;- -;140;
11C1305: Lousada;856;244;x x;474;x x;63;16;- -;59;
11C1307: Marco de Canaveses;1154;357;x x;556;x x;120;14;- -;107;
11C1309: Paços de Ferreira;1408;416;x x;645;x x;190;20;- -;137;
11C1311: Penafiel;1729;518;x x;806;x x;214;22;- -;169;
11C1813: Resende;300;133;x x;117;x x;28;12;- -;10;
11D: Douro;5029;1680;x x;2244;x x;714;93;- -;298;
11D1701: Alijó;435;132;x x;190;x x;62;13;- -;38;
11D1801: Armamar;86;29;x x;45;x x;9;- -;- -;3;
11D0403: Carrazeda de Ansiães;207;60;x x;100;x x;? ?;? ?;- -;21;
11D0404: Freixo de Espada à Cinta;146;44;x x;59;x x;40;- -;- -;3;
11D1805: Lamego;481;178;x x;226;x x;38;9;- -;30;
11D1704: Mesão Frio;137;74;x x;40;x x;14;3;- -;6;
11D1807: Moimenta da Beira;195;62;x x;89;x x;26;4;- -;14;
11D1707: Murça;176;60;x x;75;x x;27;6;- -;8;
11D1812: Penedono;50;19;x x;22;x x;? ?;? ?;- -;- -;
11D1708: Peso da Régua;473;200;x x;215;x x;27;10;- -;21;
11D1710: Sabrosa;142;46;x x;63;x x;28;- -;- -;5;
11D1711: Santa Marta de Penaguião;175;62;x x;56;x x;44;7;- -;6;
11D1815: São João da Pesqueira;145;45;x x;71;x x;14;4;- -;11;
11D1818: Sernancelhe;83;23;x x;46;x x;9;? ?;- -;? ?;
11D1819: Tabuaço;114;46;x x;48;x x;15;- -;- -;5;
11D1820: Tarouca;123;61;x x;51;x x;6;? ?;- -;? ?;
11D0409: Torre de Moncorvo;289;71;x x;118;x x;76;7;- -;17;
11D0914: Vila Nova de Foz Côa;239;73;x x;118;x x;30;5;- -;13;
11D1714: Vila Real;1333;395;x x;612;x x;217;20;- -;89;
11E: Terras de Trás-os-Montes;3546;1120;x x;1592;x x;508;67;- -;259;
11E0401: Alfândega da Fé;154;56;x x;57;x x;24;? ?;- -;? ?;
11E0402: Bragança;1148;328;x x;552;x x;179;16;- -;73;
11E0405: Macedo de Cavaleiros;484;137;x x;229;x x;59;16;- -;43;
11E0406: Miranda do Douro;248;76;x x;104;x x;36;7;- -;25;
11E0407: Mirandela;713;281;x x;286;x x;85;13;- -;48;
11E0408: Mogadouro;201;76;x x;80;x x;27;6;- -;12;
11E0410: Vila Flor;194;47;x x;100;x x;35;? ?;- -;? ?;
11E0411: Vimioso;217;68;x x;95;x x;40;3;- -;11;
11E0412: Vinhais;187;51;x x;89;x x;23;3;- -;21;
16: Centro;63711;16497;17;34323;x x;7767;1034;- -;4086;
16B: Oeste;10215;2227;x x;6174;x x;904;140;- -;769;
16B1001: Alcobaça;1507;326;x x;913;x x;151;21;- -;96;
16B1101: Alenquer;1035;211;x x;548;x x;126;13;- -;137;
16B1102: Arruda dos Vinhos;285;79;x x;116;x x;55;4;- -;31;
16B1005: Bombarral;406;80;x x;225;x x;41;9;- -;51;
16B1104: Cadaval;361;75;x x;218;x x;27;3;- -;38;
16B1006: Caldas da Rainha;1691;335;x x;1063;x x;128;26;- -;139;
16B1108: Lourinhã;653;179;x x;376;x x;49;6;- -;43;
16B1011: Nazaré;531;124;x x;348;x x;33;5;- -;21;
16B1012: Óbidos;359;44;x x;270;x x;25;3;- -;17;
16B1014: Peniche;1101;233;x x;758;x x;67;14;- -;29;
16B1112: Sobral de Monte Agraço;263;68;x x;144;x x;19;4;- -;28;
16B1113: Torres Vedras;2023;473;x x;1195;x x;183;32;- -;139;
16D: Região de Aveiro;11827;3244;x x;6037;x x;1533;294;- -;717;
16D0101: Águeda;1392;439;x x;733;x x;144;22;- -;53;
16D0102: Albergaria-a-Velha;752;227;x x;391;x x;89;10;- -;35;
16D0103: Anadia;811;185;x x;348;x x;161;45;- -;72;
16D0105: Aveiro;2495;648;x x;1317;x x;274;61;- -;194;
16D0108: Estarreja;1150;324;x x;586;x x;154;21;- -;65;
16D0110: Ílhavo;1407;307;x x;660;x x;299;57;- -;84;
16D0112: Murtosa;465;163;x x;262;x x;19;3;- -;18;
16D0114: Oliveira do Bairro;768;191;x x;439;x x;95;13;- -;30;
16D0115: Ovar;1691;510;x x;823;x x;191;41;- -;126;
16D0117: Sever do Vouga;396;115;x x;204;x x;45;14;- -;18;
16D0118: Vagos;500;135;x x;274;x x;62;7;- -;22;
16E: Região de Coimbra;12729;3492;x x;7186;x x;1219;154;- -;678;
16E0601: Arganil;309;88;x x;178;x x;30;3;- -;10;
16E0602: Cantanhede;1057;353;x x;520;x x;103;8;- -;73;
16E0603: Coimbra;5346;1208;x x;3370;x x;476;56;- -;236;
16E0604: Condeixa-a-Nova;434;143;x x;252;x x;24;3;- -;12;
16E0605: Figueira da Foz;1500;483;x x;771;x x;124;22;- -;100;
16E0606: Góis;121;47;x x;54;x x;11;5;- -;4;
16E0607: Lousã;390;105;x x;186;x x;41;7;- -;51;
16E0111: Mealhada;478;126;x x;237;x x;77;5;- -;33;
16E0608: Mira;342;128;x x;182;x x;22;6;- -;4;
16E0609: Miranda do Corvo;268;76;x x;157;x x;25;? ?;- -;8;
16E0610: Montemor-o-Velho;529;159;x x;284;x x;? ?;? ?;- -;50;
16E1808: Mortágua;160;36;x x;79;x x;33;3;- -;9;
16E0611: Oliveira do Hospital;452;116;x x;235;x x;77;5;- -;19;
16E0612: Pampilhosa da Serra;72;20;x x;41;x x;? ?;- -;- -;? ?;
16E0613: Penacova;341;130;x x;145;x x;41;5;- -;20;
16E0614: Penela;171;53;x x;73;x x;30;? ?;- -;? ?;
16E0615: Soure;298;82;x x;177;x x;15;5;- -;19;
16E0616: Tábua;286;93;x x;144;x x;30;7;- -;12;
16E0617: Vila Nova de Poiares;175;46;x x;101;x x;17;8;- -;3;
16F: Região de Leiria;7732;1738;x x;4423;x x;866;139;- -;565;
16F1002: Alvaiázere;227;29;x x;149;x x;32;3;- -;14;
16F1003: Ansião;262;42;x x;139;x x;54;11;- -;16;
16F1004: Batalha;496;110;x x;321;x x;27;3;- -;35;
16F1007: Castanheira de Pêra;104;29;x x;52;x x;20;? ?;- -;? ?;
16F1008: Figueiró dos Vinhos;179;44;x x;71;x x;43;8;- -;13;
16F1009: Leiria;3389;731;x x;1956;x x;389;48;- -;264;
16F1010: Marinha Grande;1129;330;x x;633;x x;86;18;- -;62;
16F1013: Pedrógão Grande;112;23;x x;53;x x;27;? ?;- -;? ?;
16F1015: Pombal;1312;299;x x;731;x x;155;40;- -;87;
16F1016: Porto de Mós;522;101;x x;318;x x;33;5;- -;65;
16G: Viseu Dão Lafões;6279;1859;x x;3203;x x;819;102;- -;296;
16G0901: Aguiar da Beira;88;21;x x;41;x x;21;? ?;- -;? ?;
16G1802: Carregal do Sal;198;60;x x;70;x x;43;9;- -;16;
16G1803: Castro Daire;240;64;x x;131;x x;30;3;- -;12;
16G1806: Mangualde;488;130;x x;292;x x;36;3;- -;27;
16G1809: Nelas;290;55;x x;180;x x;34;3;- -;18;
16G1810: Oliveira de Frades;248;76;x x;122;x x;37;? ?;- -;? ?;
16G1811: Penalva do Castelo;143;49;x x;66;x x;15;? ?;- -;? ?;
16G1814: Santa Comba Dão;244;74;x x;119;x x;36;3;- -;12;
16G1816: São Pedro do Sul;344;83;x x;193;x x;42;7;- -;19;
16G1817: Sátão;211;57;x x;111;x x;25;? ?;- -;? ?;
16G1821: Tondela;579;188;x x;291;x x;65;8;- -;27;
16G1822: Vila Nova de Paiva;118;32;x x;62;x x;20;? ?;- -;? ?;
16G1823: Viseu;2784;899;x x;1346;x x;381;54;- -;104;
16G1824: Vouzela;304;71;x x;179;x x;34;6;- -;14;
16H: Beira Baixa;2553;664;x x;1354;x x;369;31;- -;135;
16H0502: Castelo Branco;1654;460;x x;875;x x;222;20;- -;77;
16H0505: Idanha-a-Nova;417;74;x x;249;x x;62;- -;- -;32;
16H0506: Oleiros;121;31;x x;55;x x;24;3;- -;8;
16H0507: Penamacor;177;49;x x;81;x x;35;4;- -;8;
16H0508: Proença-a-Nova;93;36;x x;34;x x;14;? ?;- -;? ?;
16H0511: Vila Velha de Ródão;91;14;x x;60;x x;12;? ?;- -;? ?;
